"","ID","age","job","marital","education","default","balance","housing","loan","contact","day","month","campaign","pdays","previous","poutcome","y"
"1",41360,55,"management","married","tertiary","no",2960,"yes","no","cellular",31,"aug",1,98,11,"other","no"
"2",42366,37,"management","married","tertiary","no",4842,"yes","no","cellular",25,"nov",1,-1,0,"unknown","no"
"3",12937,31,"management","single","tertiary","no",1598,"yes","no","cellular",7,"jul",0,-1,0,"unknown","no"
"4",37543,29,"admin.","single","secondary","no",65,"yes","no","cellular",14,"may",6,-1,0,"unknown","no"
"5",29012,55,"management","divorced","tertiary","no",-207,"no","no","cellular",2,"feb",1,-1,0,"unknown","no"
"6",23467,56,"retired","married","primary","yes",-123,"no","yes","cellular",28,"aug",3,-1,0,"unknown","no"
"7",33298,40,"admin.","single","secondary","no",2360,"yes","no","cellular",20,"apr",2,-1,0,"unknown","no"
"8",6088,43,"management","single","secondary","no",109,"yes","no","unknown",27,"may",3,-1,0,"unknown","no"
"9",29699,45,"management","married","tertiary","no",1199,"no","no","telephone",3,"feb",2,-1,0,"unknown","no"
"10",31871,26,"student","single","secondary","no",766,"no","no","cellular",9,"apr",6,-1,0,"unknown","no"
"11",20691,43,"services","married","secondary","no",378,"no","yes","cellular",12,"aug",4,-1,0,"unknown","no"
"12",32504,33,"services","married","secondary","no",798,"no","no","cellular",17,"apr",1,338,1,"other","no"
"13",42247,48,"blue-collar","married","secondary","no",1230,"yes","no","cellular",12,"nov",1,196,2,"success","yes"
"14",11545,55,"housemaid","married","primary","no",1537,"no","no","unknown",19,"jun",1,-1,0,"unknown","no"
"15",20895,35,"technician","single","tertiary","no",354,"yes","no","cellular",13,"aug",1,-1,0,"unknown","no"
"16",42485,40,"management","single","tertiary","no",3797,"no","no","cellular",14,"dec",1,195,2,"failure","no"
"17",44211,46,"management","married","secondary","no",766,"yes","no","unknown",16,"jul",1,-1,0,"unknown","no"
"18",5310,56,"management","married","unknown","no",18347,"yes","no","unknown",23,"may",1,-1,0,"unknown","no"
"19",21467,37,"technician","single","tertiary","no",453,"no","no","cellular",18,"aug",4,-1,0,"unknown","no"
"20",25323,35,"blue-collar","married","secondary","no",1055,"no","no","unknown",18,"nov",2,-1,0,"unknown","yes"
"21",40855,32,"management","single","tertiary","no",3283,"no","no","cellular",12,"aug",2,191,2,"success","yes"
"22",6269,54,"admin.","divorced","secondary","no",-288,"yes","no","unknown",27,"may",2,-1,0,"unknown","no"
"23",44688,52,"management","married","unknown","no",1708,"no","no","unknown",6,"sep",1,75,4,"failure","yes"
"24",42779,42,"management","single","tertiary","no",7560,"no","no","cellular",28,"jan",1,-1,0,"unknown","yes"
"25",3726,44,"housemaid","married","primary","yes",-972,"yes","yes","unknown",16,"may",2,-1,0,"unknown","no"
"26",23236,36,"technician","married","secondary","no",30,"no","no","cellular",27,"aug",2,-1,0,"unknown","no"
"27",17632,42,"technician","single","unknown","no",2193,"no","no","cellular",29,"jul",2,-1,0,"unknown","no"
"28",40925,53,"services","married","unknown","no",442,"yes","no","cellular",12,"aug",1,36,2,"other","no"
"29",20196,46,"technician","divorced","secondary","yes",-11,"no","no","cellular",11,"aug",2,-1,0,"unknown","no"
